date,Comm,Consumer,Energy,Financials,Healthcare,Industrials,Materials,RealEstate,Tech,Utilities
2020-11-18,0.00898,0.239948,0.170154,0.117388,0.108964,-0.025841,0.139403,0.157578,0.200415,0.061093
2020-11-19,-0.006846,-0.037404,0.176751,0.198529,0.115853,-0.016847,0.149272,0.13718,-0.02127,-0.087437
2020-11-20,-0.03622,-0.011567,0.083896,0.102047,0.035198,0.037497,0.129949,0.119422,0.132121,-0.054905
2020-11-23,0.034527,0.171667,-0.024238,0.028934,0.192443,0.128926,0.04046,0.045852,0.07102,0.056622
2020-11-24,0.138494,0.065811,-0.14315,0.135245,0.113496,0.045141,0.123302,0.104186,0.043214,0.126446
2020-11-25,0.151353,0.173252,0.122612,0.000515,0.04019,0.223187,0.137836,0.0907,0.074547,0.181434
2020-11-27,0.270777,0.11065,0.164705,0.223745,-0.031293,0.172659,0.119993,0.035311,0.16755,0.18661
2020-11-30,0.222684,0.143674,0.215179,0.022825,0.168283,0.095545,0.084004,0.136959,0.031302,0.10889
2020-12-01,0.159862,0.172164,0.10927,0.331027,0.04019,0.088459,0.14271,0.152007,0.026777,0.149434
2020-12-02,0.002049,0.015388,0.148931,0.11765,0.207675,-0.001567,0.198145,0.184061,0.160195,0.263803
2020-12-03,0.115611,0.09779,0.01289,0.111708,0.226107,0.115424,0.172495,0.279023,0.102441,0.229654
2020-12-04,0.176924,0.078667,0.003914,-0.02116,0.157692,0.08516,0.150166,0.176428,0.15045,0.224474
2020-12-07,0.08077,0.098967,0.062714,0.048541,-0.013424,0.071889,0.130727,0.24893,0.070008,0.206529
2020-12-08,0.097053,0.060713,0.063587,0.047122,0.15436,-0.001638,0.105271,0.177648,0.10759,0.255667
2020-12-09,0.24064,0.016481,0.047286,0.080543,0.00138,-0.043266,0.149446,0.118176,0.217407,0.404504
2020-12-10,0.218813,0.2186,0.265465,0.140775,0.063135,0.000191,0.145448,0.102878,0.236038,0.202396
2020-12-11,0.12521,0.143473,-0.233304,0.090135,0.301453,-0.075861,0.09194,0.001955,0.045279,0.160728
2020-12-14,0.048268,0.047322,0.07815,0.159958,0.142115,0.093333,0.080038,0.016974,0.075916,0.09249
2020-12-15,0.123859,0.184012,0.201133,0.254693,0.250812,0.245122,0.0,0.08424,0.064346,0.080517
2020-12-16,0.060619,0.278874,0.056494,0.307987,0.299972,0.163125,0.0,0.177348,0.04046,0.070094
2020-12-17,0.069904,0.17274,0.11718,0.366942,0.055705,0.176415,0.08808,0.0,0.232714,0.12379
2020-12-18,0.017647,0.257241,0.0367,0.101491,0.179263,0.026724,0.0907,0.03637,0.19258,0.119923
2020-12-21,0.062107,0.127521,0.134057,-0.029943,0.27162,0.227041,0.223305,0.058982,0.148474,0.225772
2020-12-22,0.00167,0.086088,-0.018832,0.098969,0.040536,0.217555,0.105667,0.051347,0.16148,0.14905
2020-12-23,0.032304,0.131257,0.130928,0.194148,0.097166,0.377239,0.091989,0.0447,0.148499,0.158627
2020-12-24,0.020907,0.194871,0.159334,0.309628,0.241759,0.414403,0.080081,0.106104,0.127534,0.138093
2020-12-28,0.180022,0.245262,0.076766,0.100801,0.14919,0.284754,0.023238,-0.004849,0.145909,0.304531
2020-12-29,0.201174,0.160106,0.080589,-0.33084,0.11306,0.199215,0.11557,0.01366,-0.022181,0.26511
2020-12-30,0.225229,0.35562,0.04612,0.03512,0.132581,0.072314,0.16425,0.0,0.169955,0.164039
2020-12-31,0.189154,0.325483,0.064386,0.306391,0.200872,0.135903,0.167966,0.04074,0.185812,0.145664
2021-01-04,0.130039,0.107026,0.066358,0.197742,0.161041,0.162429,0.04404,0.0,0.109606,0.089355
2021-01-05,0.060412,0.090157,0.123177,0.213551,0.266077,0.119231,0.12264,0.0,0.056595,0.143701
2021-01-06,0.111202,0.06937,-0.019253,0.235748,0.04191,0.176581,0.191064,0.0296,0.111825,0.125099
2021-01-07,0.16188,0.107911,0.054873,0.094018,-0.0477,-0.073473,0.046557,0.025768,0.011565,0.067009
2021-01-08,0.05992,0.208589,0.093421,0.132831,-0.011236,0.001569,0.110864,0.077073,0.034393,0.111938
